(148, -83) = 1
(-66, 185) = 0
(39, -36) = 1
(195, -143) = 1
(41, 122) = 1
(-112, 17) = 0
(-117, -87) = 0
(97, 184) = 1
(56, -23) = 1
(-33, 60) = 0
(-99, 10) = 0
(-173, -25) = 0
(-139, -80) = 0
(80, -185) = 1
(-181, -111) = 0
(76, 145) = 1
(45, -63) = 1
(-19, -63) = 0
(180, -164) = 1
(176, 105) = 1
(-89, 198) = 0
(193, -132) = 1
(86, -42) = 1
(-84, 170) = 0
(198, 100) = 1
(-99, -193) = 0
(-117, 163) = 0
(38, 94) = 1
(-147, 55) = 0
(-10, -26) = 0
(-22, -148) = 0
(82, 19) = 1
(-108, 85) = 0
(-23, 187) = 0
(-65, 8) = 0
(-172, -59) = 0
(-193, 193) = 0
(71, -111) = 1
(35, 156) = 1
(65, 83) = 1
(131, -196) = 1
(190, -60) = 1
(-183, 117) = 0
(90, -115) = 1
(-116, 2) = 0
(31, 29) = 1
(-194, 171) = 0
(-36, -10) = 0
(-6, -141) = 0
(28, 42) = 1
(73, -156) = 1
(142, -60) = 1
(-49, 198) = 0
(-98, 92) = 0
(-81, -154) = 0
(-80, 104) = 0
(-56, -65) = 0
(-176, -121) = 0
(-95, 184) = 0
(3, -16) = 1
(162, -56) = 1
(-28, -16) = 0
(-39, -51) = 0
(187, -158) = 1
(-152, -153) = 0
(-80, -64) = 0
(-49, -1) = 0
(-157, 81) = 0
(128, -51) = 1
(69, -188) = 1
(-35, 179) = 0
(-4, -115) = 0
(98, 119) = 1
(147, -183) = 1
(-133, -170) = 0
(23, 73) = 1
(135, -156) = 1
(-63, -70) = 0
(-149, -37) = 0
(-112, 143) = 0
(37, -163) = 1
(183, -79) = 1
(-69, -172) = 0
(-78, -86) = 0
(147, 61) = 1
(63, -119) = 1
(-89, -137) = 0
(-148, 171) = 0
(-81, -63) = 0
(97, -179) = 1
(-148, 58) = 0
(128, 38) = 1
(-18, -153) = 0
(99, 12) = 1
(108, -36) = 1
(-22, -153) = 0
(-199, 171) = 0
(-83, 149) = 0
(-139, 91) = 0
(191, -29) = 1
(-60, 164) = 0
(99, -82) = 1
(-139, 126) = 0
(-48, -128) = 0
(-6, -83) = 0
(-154, 163) = 0
(73, 14) = 1
(145, -21) = 1
(169, 179) = 1
(191, 181) = 1
(126, 149) = 1
(183, -42) = 1
(131, 38) = 1
(46, -152) = 1
(27, -57) = 1
(60, 26) = 1
(125, 126) = 1
(-52, -13) = 0
(17, 80) = 1
(-17, -6) = 0
(-37, -93) = 0
(-179, 37) = 0
(105, -169) = 1
(-8, -88) = 0
(-149, -36) = 0
(-130, 64) = 0
(-32, -3) = 0
(62, 78) = 1
(-145, 137) = 0
(-149, -185) = 0
(81, -155) = 1
(114, 65) = 1
(-35, -189) = 0
(200, 26) = 1
(-184, 15) = 0
(111, 153) = 1
(200, 76) = 1
(-140, -166) = 0
(-51, 65) = 0
(172, -17) = 1
(25, 61) = 1
(-117, 130) = 0
(82, 175) = 1
(88, -165) = 1
(69, -102) = 1
(-21, -196) = 0
(-37, 44) = 0
(-191, -154) = 0
(173, -23) = 1
(-81, -139) = 0
(-118, -60) = 0
(-129, -168) = 0
(92, -40) = 1
(-164, 144) = 0
(38, -121) = 1
(-116, -105) = 0
(133, -130) = 1
(37, -60) = 1
(-91, 199) = 0
(-39, 43) = 0
(-8, -78) = 0
(52, -45) = 1
(86, -193) = 1
(-107, -178) = 0
(27, 123) = 1
(188, -140) = 1
(93, -143) = 1
(-34, -117) = 0
(-177, 98) = 0
(-134, 112) = 0
(96, -98) = 1
(74, 116) = 1
(81, -126) = 1
(-150, -190) = 0
(9, 11) = 1
(-64, -197) = 0
(-116, 142) = 0
(-102, 73) = 0
(188, 95) = 1
(-6, -147) = 0
(99, -40) = 1
(-19, -190) = 0
(74, -126) = 1
(-17, 36) = 0
(-61, 2) = 0
(167, -172) = 1
(-199, -121) = 0
(-45, -160) = 0
(-30, 15) = 0
(47, -11) = 1
(-177, -170) = 0
(162, 48) = 1
(-200, -165) = 0
(192, 57) = 1
(-143, -114) = 0
(-168, -112) = 0
(1, -96) = 0
(193, -26) = 1
(-199, -64) = 0
(-22, 33) = 0
(-57, -115) = 0
(-173, 75) = 0
(179, -54) = 1
(-154, -112) = 0
(-164, 145) = 0
(-3, -190) = 0
(-153, 171) = 0
(-152, -122) = 0
(19, 198) = 1
(24, 168) = 1
(-16, -20) = 0
(161, -79) = 1
(-111, 126) = 0
(60, -177) = 1
(138, 100) = 1
(-58, -17) = 0
(-142, 21) = 0
(144, -11) = 1
(185, -63) = 1
(12, -193) = 1
(177, 22) = 1
(-91, -1) = 0
(176, -61) = 1
(35, -87) = 1
(148, -155) = 1
(-135, -140) = 0
(-137, 103) = 0
(-185, -22) = 0
(-160, -161) = 0
(-189, 155) = 0
(-90, 177) = 0
(-89, -61) = 0
(-3, -115) = 0
(107, 94) = 1
(-26, -133) = 0
(-174, -196) = 0
(-68, -78) = 0
(55, 178) = 1
(190, -131) = 1
(-57, 55) = 0
(-174, 180) = 0
(25, 140) = 1
(68, 189) = 1
(-97, -198) = 0
(-60, 43) = 0
(60, 38) = 1
(65, 183) = 1
(195, -115) = 1
(6, 122) = 1
(63, -63) = 1
(-184, -176) = 0
(57, -61) = 1
(73, 139) = 1
(-97, -192) = 0
(200, -124) = 1
(-21, 168) = 0
(106, 91) = 1
(65, 140) = 1
(155, 126) = 1
(143, 55) = 1
(139, 74) = 1
(47, 132) = 1
(-176, -168) = 0
(77, -141) = 1
(66, -119) = 1
(0, -52) = 0
(-89, -68) = 0
(-144, 35) = 0
(-150, 23) = 0
(-131, 21) = 0
(-112, 76) = 0
(-10, -171) = 0
(-118, -176) = 0
(80, -197) = 1
(163, 81) = 1
(194, -74) = 1
(155, 104) = 1
(139, 48) = 1
(-9, 19) = 0
(-134, 53) = 0
(-143, -106) = 0
(13, 21) = 1
(-99, 96) = 0
(166, 103) = 1
(-161, 21) = 0
(-73, -16) = 0
(-71, 83) = 0
(-97, 39) = 0
(-9, 77) = 0
(11, 172) = 1
(175, -69) = 1
(54, -47) = 1
(148, 110) = 1
(-168, 17) = 0
(17, -14) = 1
(-196, -100) = 0
(130, -77) = 1
(108, -198) = 1
(-174, 74) = 0
(123, -14) = 1
(-25, 54) = 0
(-124, 71) = 0
(-152, 142) = 0
(167, 114) = 1
(13, 90) = 1
(-104, -111) = 0
(-130, 13) = 0
(-181, 128) = 0
(199, 17) = 1
(-130, -17) = 0
(199, -197) = 1
(-145, -156) = 0
(-110, 34) = 0
(191, 170) = 1
(-27, -102) = 0
(22, 170) = 1
(-107, -164) = 0
(188, 153) = 1
(144, 1) = 1
(-36, -174) = 0
(-161, 152) = 0
(-126, 76) = 0
(-111, -148) = 0
(-193, 112) = 0
(20, -135) = 1
(69, -60) = 1
(9, 188) = 1
(-47, -96) = 0
(170, -199) = 1
(199, -148) = 1
(-123, 197) = 0
(-44, -127) = 0
(-16, -192) = 0
(-80, 108) = 0
(-79, -24) = 0
(-160, -141) = 0
(149, -74) = 1
(-186, -78) = 0
(21, 12) = 1
(-32, -66) = 0
(-75, 19) = 0
(131, -20) = 1
(163, 79) = 1
(26, -67) = 1
(-95, 151) = 0
(-179, -81) = 0
(147, -74) = 1
(-88, -68) = 0
(-188, -197) = 0
(4, -133) = 1
(-165, 25) = 0
(10, 163) = 1
(63, -114) = 1
(-193, 162) = 0
(-191, -134) = 0
(50, 187) = 1
(140, 68) = 1
(92, -70) = 1
(18, -34) = 1
(-17, -94) = 0
(129, -155) = 1
(194, -12) = 1
(135, 37) = 1
(31, 86) = 1
(37, -151) = 1
(-73, 55) = 0
(18, 0) = 1
(-196, 20) = 0
(-102, -194) = 0
(53, 82) = 1
(133, -62) = 1
(-181, -136) = 0
(-123, -27) = 0
(-98, -113) = 0
(68, -56) = 1
(-88, 163) = 0
(-32, -106) = 0
(-80, 50) = 0
(27, 156) = 1
(187, -17) = 1
(71, 6) = 1
(-184, -179) = 0
(-28, 87) = 0
(-71, 102) = 0
(-158, 113) = 0
(-89, 158) = 0
(-13, 129) = 0
(3, -129) = 1
(-190, 131) = 0
(34, -46) = 1
(31, 62) = 1
(-68, 140) = 0
(138, 61) = 1
(98, -38) = 1
(-51, 48) = 0
(181, 79) = 1
(133, -196) = 1
(131, 179) = 1
(-61, -110) = 0
(177, 192) = 1
(100, 182) = 1
(155, 41) = 1
(-148, -174) = 0
(-36, -113) = 0
(105, -86) = 1
(-17, -107) = 0
(80, -16) = 1
(113, 103) = 1
(105, -94) = 1
(-128, 28) = 0
(-123, 50) = 0
(125, 13) = 1
(190, 184) = 1
(189, -176) = 1
(-63, 112) = 0
(-160, 193) = 0
(-189, -45) = 0
(-87, -28) = 0
(64, -23) = 1
(-98, 154) = 0
(-130, -88) = 0
(191, 85) = 1
(-193, 144) = 0
(20, 159) = 1
(-34, 118) = 0
(-53, 139) = 0
(109, 89) = 1
(-199, 135) = 0
(182, 193) = 1
(-156, 168) = 0
(193, 180) = 1
